name,season,age,body_type,race_ethnicity,num_bottom,bottom_win,max_challenge,snatch_win,mini_challenge,drag_exp,challenge_type,personality,mentor_supp,judge_comment,lipsync_ass,sentiment,positive_action1,positive_action2,final_status
BeBe Zahara Benet,1,28,Slender,Black,1,1,2,No,0,8,"Runway, Performance",Elegant,No,Praised for elegance and strong performances,No,0.4333333333333333,elegance,strong performances,Winner
Nina Flowers,1,34,Athletic,Latinx,0,0,2,No,1,10,"Runway, Fashion",Confident,No,Celebrated for fashion and strong runway looks,No,0.3916666666666666,fashion,strong runway looks,Finalist
Rebecca Glasscock,1,26,Slender,Latinx,2,2,2,No,1,5,"Runway, Performance",Sweet,No,Praised for sweet personality and strong runway looks,Yes,0.3916666666666666,sweet personality,strong runway looks,Not in Finals
Shannel,1,29,Slender,White,2,1,0,No,0,6,"Runway, Performance",Polished,No,Known for polished looks and strong performances,Yes,0.4333333333333333,polished looks,strong performances,Not in Finals
Ongina,1,26,Slender,Asian American,1,0,2,No,0,5,"Runway, Fashion",Confident,No,Celebrated for fashion and strong runway looks,No,0.3916666666666666,fashion,strong runway looks,Not in Finals
Jade,1,25,Slender,Latinx,1,0,1,No,1,4,"Runway, Performance",Humorous,No,Highlighted for humor and strong performances,No,0.4333333333333333,humor,strong performances,Not in Finals
Akashia,1,24,Slender,Black,3,2,0,No,0,6,"Runway, Performance",Bold,No,Known for bold personality and strong performances,Yes,0.3833333333333333,bold personality,strong performances,Not in Finals
Tammie Brown,1,28,Slender,White,1,0,0,No,0,15,"Comedy, Performance",Quirky,No,Highlighted for quirky style and strong performances,No,0.2166666666666666,quirky style,strong performances,Not in Finals
"Victoria ""Porkchop"" Parker",1,39,Plus-size,White,1,0,0,No,0,20,"Runway, Performance",Humorous,No,Known for humor and strong performances,No,0.4333333333333333,humor,strong performances,Not in Finals
Tyra Sanchez,2,21,Slender,Black,0,0,4,No,1,4,"Runway, Fashion",Confident,No,Praised for fashion and runway looks,No,0,fashion,runway looks,Winner
Raven,2,30,Slender,White,2,2,5,No,3,7,"Runway, Performance",Polished,No,Celebrated for polished looks and performances,Yes,0.35,polished looks,performances,Finalist
Jujubee,2,25,Slender,Asian American,3,3,1,No,1,5,"Comedy, Performance",Humorous,No,Known for humor and strong performances,Yes,0.4333333333333333,humor,strong performances,Not in Finals
Tatianna,2,20,Slender,Latinx,2,1,2,Yes,1,3,"Runway, Performance",Sweet,No,Praised for sweet personality and strong runway looks,Yes,0.3916666666666666,sweet personality,strong runway looks,Not in Finals
Pandora Boxx,2,37,Slender,White,1,0,1,No,1,10,"Comedy, Performance",Quirky,No,Celebrated for humor and quirky style,No,0.175,humor,quirky style,Not in Finals
Jessica Wild,2,29,Slender,Latinx,1,0,1,No,0,7,"Runway, Performance",Energetic,No,Known for high-energy performances,No,0,high-energy performances,,Not in Finals
Sahara Davenport,2,25,Slender,Black,3,2,1,No,0,6,"Dance, Performance",Energetic,No,Praised for dance skills and high-energy performances,Yes,0,dance skills,high-energy performances,Not in Finals
Morgan McMichaels,2,28,Slender,White,2,1,1,No,0,5,"Runway, Performance",Confident,No,Recognized for confident runway looks,Yes,0.5,confident runway looks,,Not in Finals
Sonique,2,26,Athletic,White,1,0,0,No,0,6,"Dance, Performance",Outspoken,No,Known for outspoken personality and strong performances,Yes,0.4333333333333333,outspoken personality,strong performances,Not in Finals
Mystique Summers Madison,2,25,Plus-size,Black,1,0,0,No,0,5,"Comedy, Performance",Humorous,No,Highlighted for humor and strong performances,Yes,0.4333333333333333,humor,strong performances,Not in Finals
Nicole Paige Brooks,2,36,Slender,White,1,0,0,No,0,10,"Runway, Performance",Sweet,No,Known for sweet personality and strong runway looks,No,0.3916666666666666,sweet personality,strong runway looks,Not in Finals
Shangela,3,28,Slender,Black,2,1,2,No,1,3,"Comedy, Performance",Outspoken,No,Known for outspoken personality and strong performances,No,0.4333333333333333,outspoken personality,strong performances,Not in Finals
Raja,3,36,Slender,Asian American,0,0,0,No,0,15,"Runway, Fashion",Confident,No,Praised for fashion and runway looks,No,0,fashion,runway looks,Winner
Manila Luzon,3,28,Slender,Asian American,1,1,3,No,2,6,"Comedy, Performance",Creative,No,Celebrated for creativity and humor,No,0.35,creativity,humor,Finalist
Alexis Mateo,3,30,Athletic,Latinx,3,3,3,No,1,8,"Dance, Performance",Energetic,No,Known for high-energy performances,Yes,0,high-energy performances,,Not in Finals
Yara Sofia,3,26,Athletic,Latinx,2,0,2,No,1,6,"Runway, Fashion",Creative,No,Praised for fashion and creativity,Yes,0,fashion,creativity,Not in Finals
Carmen Carrera,3,25,Slender,Latinx,3,1,1,No,1,5,"Runway, Fashion",Elegant,No,Known for elegance and runway looks,Yes,0,elegance,runway looks,Not in Finals
